"time","class","pkts","tcp_retx_pkts"
"01-Oct-2013 07:00:00","Outbound",6920815,16362
"01-Oct-2013 06:00:00","Inbound",1764406,2185
"01-Oct-2013 06:00:00","Outbound",2149396,12889
"01-Oct-2013 05:00:00","Inbound",1332965,2499
"01-Oct-2013 05:00:00","Outbound",1925527,19410
"01-Oct-2013 04:00:00","Inbound",2420526,2517
"01-Oct-2013 04:00:00","Outbound",2622566,23382
"01-Oct-2013 03:00:00","Inbound",2236205,3314
"01-Oct-2013 03:00:00","Outbound",2642850,25331
"01-Oct-2013 02:00:00","Inbound",3152881,8868
"01-Oct-2013 02:00:00","Outbound",3312117,24271
"01-Oct-2013 01:00:00","Inbound",4327284,57733
"01-Oct-2013 01:00:00","Outbound",4093701,29962
"01-Oct-2013 00:00:00","Inbound",5191023,34142
"01-Oct-2013 00:00:00","Outbound",5927219,35190
"30-Sep-2013 23:00:00","Inbound",6632433,20209
"30-Sep-2013 23:00:00","Outbound",7797284,34214
"30-Sep-2013 22:00:00","Inbound",8655332,21345
"30-Sep-2013 22:00:00","Outbound",9652718,37602
"30-Sep-2013 21:00:00","Inbound",11844692,24418
"30-Sep-2013 21:00:00","Outbound",10687769,35042
"30-Sep-2013 20:00:00","Inbound",17818252,32755
"30-Sep-2013 20:00:00","Outbound",14303624,40593
"30-Sep-2013 19:00:00","Inbound",36656733,96029
"30-Sep-2013 19:00:00","Outbound",19962938,66731
"30-Sep-2013 18:00:00","Inbound",35964749,77418
"30-Sep-2013 18:00:00","Outbound",19483132,52711
"30-Sep-2013 17:00:00","Inbound",21121992,42944
"30-Sep-2013 17:00:00","Outbound",13683590,39972
"30-Sep-2013 16:00:00","Inbound",21909564,22371
"30-Sep-2013 16:00:00","Outbound",17965746,52042
"30-Sep-2013 15:00:00","Inbound",16545190,45369
"30-Sep-2013 15:00:00","Outbound",11856047,33371
"30-Sep-2013 14:00:00","Inbound",17836100,63191
"30-Sep-2013 14:00:00","Outbound",14199599,65952
"30-Sep-2013 13:00:00","Inbound",23643603,39440
"30-Sep-2013 13:00:00","Outbound",20224475,74843
"30-Sep-2013 12:00:00","Inbound",32022935,42545
"30-Sep-2013 12:00:00","Outbound",21786177,65543
"30-Sep-2013 11:00:00","Inbound",26783410,46378
"30-Sep-2013 11:00:00","Outbound",21790255,61931
"30-Sep-2013 10:00:00","Inbound",21896170,41598
"30-Sep-2013 10:00:00","Outbound",17512983,40984
"30-Sep-2013 09:00:00","Inbound",13641165,16138
"30-Sep-2013 09:00:00","Outbound",10589013,19499
"30-Sep-2013 08:00:00","Inbound",8103568,8005
"30-Sep-2013 08:00:00","Outbound",6210024,11852
"30-Sep-2013 07:00:00","Inbound",3046668,4383
"30-Sep-2013 07:00:00","Outbound",2929437,12040
"30-Sep-2013 06:00:00","Inbound",1489253,2149
"30-Sep-2013 06:00:00","Outbound",1883578,12747
"30-Sep-2013 05:00:00","Inbound",1414245,2221
"30-Sep-2013 05:00:00","Outbound",1694510,19203
"30-Sep-2013 04:00:00","Inbound",2055751,3019
"30-Sep-2013 04:00:00","Outbound",2099226,20667
"30-Sep-2013 03:00:00","Inbound",2142674,2264
"30-Sep-2013 03:00:00","Outbound",2214722,21244
"30-Sep-2013 02:00:00","Inbound",3039890,2443
"30-Sep-2013 02:00:00","Outbound",2786184,16025
"30-Sep-2013 01:00:00","Inbound",2363405,3829
"30-Sep-2013 01:00:00","Outbound",2543755,18725
"30-Sep-2013 00:00:00","Inbound",3039559,6178
"30-Sep-2013 00:00:00","Outbound",3437543,26292
"29-Sep-2013 23:00:00","Inbound",2804463,8617
"29-Sep-2013 23:00:00","Outbound",3244768,29047
"29-Sep-2013 22:00:00","Inbound",4793945,22461
"29-Sep-2013 22:00:00","Outbound",3982332,23348
"29-Sep-2013 21:00:00","Inbound",3753413,7466
"29-Sep-2013 21:00:00","Outbound",3901190,30040
"29-Sep-2013 20:00:00","Inbound",4917815,8684
"29-Sep-2013 20:00:00","Outbound",4431305,31612
"29-Sep-2013 19:00:00","Inbound",3420998,7191
"29-Sep-2013 19:00:00","Outbound",3937580,29098
"29-Sep-2013 18:00:00","Inbound",3405798,10108
"29-Sep-2013 18:00:00","Outbound",4315532,30332
"29-Sep-2013 17:00:00","Inbound",3053560,7296
"29-Sep-2013 17:00:00","Outbound",3699271,26583
"29-Sep-2013 16:00:00","Inbound",2659673,7049
"29-Sep-2013 16:00:00","Outbound",3017168,20965
"29-Sep-2013 15:00:00","Inbound",2647219,5712
"29-Sep-2013 15:00:00","Outbound",2771244,14560
"29-Sep-2013 14:00:00","Inbound",3063828,5553
"29-Sep-2013 14:00:00","Outbound",3419027,21915
"29-Sep-2013 13:00:00","Inbound",3264020,13814
"29-Sep-2013 13:00:00","Outbound",3969534,20655
"29-Sep-2013 12:00:00","Inbound",3688820,7479
"29-Sep-2013 12:00:00","Outbound",4639985,21971
"29-Sep-2013 11:00:00","Inbound",3315080,6552
"29-Sep-2013 11:00:00","Outbound",4104786,19592
"29-Sep-2013 10:00:00","Inbound",3296171,6510
"29-Sep-2013 10:00:00","Outbound",4135511,18119
"29-Sep-2013 09:00:00","Inbound",2466313,6707
"29-Sep-2013 09:00:00","Outbound",2525890,9134
"29-Sep-2013 08:00:00","Inbound",1527069,3154
"29-Sep-2013 08:00:00","Outbound",1727515,11736
"29-Sep-2013 07:00:00","Inbound",1600499,1838
"29-Sep-2013 07:00:00","Outbound",1827299,7226
"29-Sep-2013 06:00:00","Inbound",1386995,1976
"29-Sep-2013 06:00:00","Outbound",1714226,10061
"29-Sep-2013 05:00:00","Inbound",1310712,2429
"29-Sep-2013 05:00:00","Outbound",1608444,11303
"29-Sep-2013 04:00:00","Inbound",1716038,2750
"29-Sep-2013 04:00:00","Outbound",2019245,10606
"29-Sep-2013 03:00:00","Inbound",1502667,2599
"29-Sep-2013 03:00:00","Outbound",1907336,10640
"29-Sep-2013 02:00:00","Inbound",1519967,2020
"29-Sep-2013 02:00:00","Outbound",1902167,12328
"29-Sep-2013 01:00:00","Inbound",2045204,2769
"29-Sep-2013 01:00:00","Outbound",3214277,13747
"29-Sep-2013 00:00:00","Inbound",3220906,3219
"29-Sep-2013 00:00:00","Outbound",3196415,15891
"28-Sep-2013 23:00:00","Inbound",5788440,6258
"28-Sep-2013 23:00:00","Outbound",5656543,124103
"28-Sep-2013 22:00:00","Inbound",4902328,4748
"28-Sep-2013 22:00:00","Outbound",4731923,21823
"28-Sep-2013 21:00:00","Inbound",4376528,5201
"28-Sep-2013 21:00:00","Outbound",4521286,25968
"28-Sep-2013 20:00:00","Inbound",5306939,7316
"28-Sep-2013 20:00:00","Outbound",4904746,17276
"28-Sep-2013 19:00:00","Inbound",6423934,8065
"28-Sep-2013 19:00:00","Outbound",6515275,20671
"28-Sep-2013 18:00:00","Inbound",6188297,7271
"28-Sep-2013 18:00:00","Outbound",6386549,18956
"28-Sep-2013 17:00:00","Inbound",8509072,10694
"28-Sep-2013 17:00:00","Outbound",6822407,15645
"28-Sep-2013 16:00:00","Inbound",6753732,14087
"28-Sep-2013 16:00:00","Outbound",6237990,20405
"28-Sep-2013 15:00:00","Inbound",6015340,18886
"28-Sep-2013 15:00:00","Outbound",5030660,15864
"28-Sep-2013 14:00:00","Inbound",5276428,9278
"28-Sep-2013 14:00:00","Outbound",4606740,19657
"28-Sep-2013 13:00:00","Inbound",7034918,10982
"28-Sep-2013 13:00:00","Outbound",6007344,37670
"28-Sep-2013 12:00:00","Inbound",7922071,11406
"28-Sep-2013 12:00:00","Outbound",6714677,18669
"28-Sep-2013 11:00:00","Inbound",6205738,8407
"28-Sep-2013 11:00:00","Outbound",5222537,19073
"28-Sep-2013 10:00:00","Inbound",6411134,7634
"28-Sep-2013 10:00:00","Outbound",6098538,19589
"28-Sep-2013 09:00:00","Inbound",3063690,7021
"28-Sep-2013 09:00:00","Outbound",3193146,10241
"28-Sep-2013 08:00:00","Inbound",2273297,3564
"28-Sep-2013 08:00:00","Outbound",2500575,11856
"28-Sep-2013 07:00:00","Inbound",2373125,1841
"28-Sep-2013 07:00:00","Outbound",2225238,8652
"28-Sep-2013 06:00:00","Inbound",2139955,1996
"28-Sep-2013 06:00:00","Outbound",2214040,11635
"28-Sep-2013 05:00:00","Inbound",1387137,2438
"28-Sep-2013 05:00:00","Outbound",1924966,12979
"28-Sep-2013 04:00:00","Inbound",1233861,1655
"28-Sep-2013 04:00:00","Outbound",1695201,14772
"28-Sep-2013 03:00:00","Inbound",1705801,2272
"28-Sep-2013 03:00:00","Outbound",2251420,16059
"28-Sep-2013 02:00:00","Inbound",1816449,2983
"28-Sep-2013 02:00:00","Outbound",2574128,18056
"28-Sep-2013 01:00:00","Inbound",2087428,3374
"28-Sep-2013 01:00:00","Outbound",2534801,18706
"28-Sep-2013 00:00:00","Inbound",5607434,5021
"28-Sep-2013 00:00:00","Outbound",4140357,20861
"27-Sep-2013 23:00:00","Inbound",5134414,6715
"27-Sep-2013 23:00:00","Outbound",4746141,24097
"27-Sep-2013 22:00:00","Inbound",4837072,6814
"27-Sep-2013 22:00:00","Outbound",4938274,27040
"27-Sep-2013 21:00:00","Inbound",4730660,16555
"27-Sep-2013 21:00:00","Outbound",5026092,27894
